order_id,customer_id,product,category,price,quantity,date,country,revenue
1006,C705,Headphones,Electronics,80,2,2024-08-18,Canada,160
1007,C189,Bag,Fashion,50,5,2024-08-26,USA,250
1008,C407,Laptop,Electronics,800,2,2024-09-02,USA,1600
1009,C295,Tablet,Electronics,300,4,2024-09-02,India,1200
1010,C101,Jacket,Fashion,150,4,2024-09-11,France,600
1011,C409,Phone,Electronics,600,4,2024-04-01,France,2400
1012,C864,Jacket,Fashion,150,4,2024-02-15,Germany,600
1013,C098,Jacket,Fashion,150,2,2024-10-26,France,300
1014,C957,Laptop,Electronics,800,3,2024-04-29,UK,2400
1015,C222,Headphones,Electronics,80,1,2024-03-28,UK,80
1016,C234,Tablet,Electronics,300,5,2024-10-31,USA,1500
1017,C814,Laptop,Electronics,800,1,2024-02-07,Australia,800
1018,C131,Headphones,Electronics,80,1,2024-06-12,France,80
1019,C003,Tablet,Electronics,300,3,2024-08-11,France,900
1020,C649,Watch,Fashion,200,1,2024-07-01,UK,200
1021,C514,Jacket,Fashion,150,4,2024-01-22,Germany,600
1022,C263,Headphones,Electronics,80,2,2024-04-19,Australia,160
1023,C937,Laptop,Electronics,800,3,2024-06-09,Australia,2400
1024,C708,Watch,Fashion,200,1,2024-10-15,UK,200
1025,C005,Tablet,Electronics,300,3,2024-01-13,Germany,900
1026,C960,Laptop,Electronics,800,2,2024-08-23,France,1600
1027,C972,Phone,Electronics,600,5,2024-02-14,USA,3000
1028,C655,Jacket,Fashion,150,1,2024-12-25,Germany,150
1029,C718,Bag,Fashion,50,4,2024-06-30,France,200
1030,C852,Headphones,Electronics,80,4,2024-10-02,UK,320
1031,C507,Bag,Fashion,50,3,2024-08-11,France,150
1032,C448,Phone,Electronics,600,5,2024-09-05,USA,3000
1033,C920,Laptop,Electronics,800,1,2024-04-24,Canada,800
1034,C928,Jacket,Fashion,150,4,2024-07-16,India,600
1035,C464,Watch,Fashion,200,3,2024-08-13,Canada,600
1036,C552,Shoes,Fashion,120,3,2024-11-04,Germany,360
1037,C673,Bag,Fashion,50,4,2024-06-07,India,200
1038,C055,Jacket,Fashion,150,3,2024-11-22,India,450
1039,C320,Phone,Electronics,600,1,2024-12-28,France,600
1040,C269,Shoes,Fashion,120,1,2024-04-18,India,120
1041,C869,Phone,Electronics,600,3,2024-10-30,India,1800
1042,C484,Jacket,Fashion,150,2,2024-11-27,Germany,300
1043,C142,Jacket,Fashion,150,3,2024-01-19,India,450
1044,C435,Jacket,Fashion,150,2,2024-02-26,Germany,300
1045,C712,Watch,Fashion,200,2,2024-09-11,Australia,400
1046,C447,Headphones,Electronics,80,1,2024-01-13,Australia,80
1047,C084,Bag,Fashion,50,2,2024-05-23,Canada,100
1048,C484,Bag,Fashion,50,2,2024-08-30,Canada,100
1049,C720,Headphones,Electronics,80,5,2024-07-11,USA,400
1050,C983,Shoes,Fashion,120,3,2024-12-12,Canada,360
1051,C210,Jacket,Fashion,150,5,2024-12-18,Australia,750
1052,C706,Laptop,Electronics,800,2,2024-02-27,India,1600
1053,C401,Watch,Fashion,200,5,2024-06-08,France,1000
1054,C184,Jacket,Fashion,150,3,2024-03-04,France,450
1055,C402,Bag,Fashion,50,2,2024-08-07,India,100
1056,C543,Phone,Electronics,600,5,2024-07-28,Germany,3000
1057,C570,Tablet,Electronics,300,1,2024-05-31,UK,300
1058,C570,Bag,Fashion,50,5,2024-01-21,UK,250
1059,C417,Phone,Electronics,600,1,2024-08-09,UK,600
1060,C026,Jacket,Fashion,150,4,2024-09-05,India,600
1061,C786,Laptop,Electronics,800,4,2024-08-31,Germany,3200
1062,C895,Bag,Fashion,50,4,2024-05-30,Australia,200
1063,C555,Headphones,Electronics,80,2,2024-10-14,Germany,160
1064,C755,Shoes,Fashion,120,3,2024-06-09,UK,360
1065,C565,Phone,Electronics,600,1,2024-07-22,UK,600
1066,C389,Watch,Fashion,200,3,2024-10-11,UK,600
1067,C527,Tablet,Electronics,300,2,2024-10-15,UK,600
1068,C185,Laptop,Electronics,800,2,2024-09-10,France,1600
1069,C847,Laptop,Electronics,800,4,2024-11-29,India,3200
1070,C114,Laptop,Electronics,800,4,2024-12-20,USA,3200
1071,C198,Laptop,Electronics,800,1,2024-11-04,USA,800
1072,C126,Laptop,Electronics,800,2,2024-01-17,India,1600
1073,C698,Bag,Fashion,50,1,2024-01-22,Canada,50
1074,C640,Laptop,Electronics,800,4,2024-09-23,Germany,3200
1075,C356,Headphones,Electronics,80,1,2024-12-12,India,80
1076,C144,Phone,Electronics,600,1,2024-02-07,India,600
1077,C865,Laptop,Electronics,800,2,2024-04-08,Australia,1600
1078,C631,Headphones,Electronics,80,4,2024-05-20,Germany,320
1079,C801,Watch,Fashion,200,3,2024-11-13,India,600
1080,C897,Shoes,Fashion,120,3,2024-01-06,Germany,360
1081,C861,Bag,Fashion,50,3,2024-01-24,Canada,150
1082,C480,Watch,Fashion,200,5,2024-05-28,Australia,1000
1083,C292,Bag,Fashion,50,1,2024-10-02,USA,50
1084,C234,Shoes,Fashion,120,4,2024-07-18,Canada,480
1085,C757,Laptop,Electronics,800,2,2024-02-26,France,1600
1086,C608,Tablet,Electronics,300,4,2024-04-18,USA,1200
1087,C516,Shoes,Fashion,120,5,2024-06-21,Australia,600
1088,C731,Shoes,Fashion,120,5,2024-02-15,India,600
1089,C144,Watch,Fashion,200,3,2024-10-03,Canada,600
1090,C147,Shoes,Fashion,120,4,2024-07-13,Canada,480
1091,C114,Watch,Fashion,200,5,2024-09-16,Australia,1000
1092,C330,Laptop,Electronics,800,4,2024-10-05,Germany,3200
