order_id,customer_id,product,category,price,quantity,date,country
1006,C705,Headphones,Electronics,80,2,2024-08-18,Canada
1007,C189,Bag,Fashion,50,5,2024-08-26,USA
1008,C407,Laptop,Electronics,800,2,2024-09-02,USA
1009,C295,Tablet,Electronics,300,4,2024-09-02,India
1010,C101,Jacket,Fashion,150,4,2024-09-11,France
1011,C409,Phone,Electronics,600,4,2024-04-01,France
1012,C864,Jacket,Fashion,150,4,2024-02-15,Germany
1013,C098,Jacket,Fashion,150,2,2024-10-26,France
1014,C957,Laptop,Electronics,800,3,2024-04-29,UK
1015,C222,Headphones,Electronics,80,1,2024-03-28,UK
1016,C234,Tablet,Electronics,300,5,2024-10-31,USA
1017,C814,Laptop,Electronics,800,1,2024-02-07,Australia
1018,C131,Headphones,Electronics,80,1,2024-06-12,France
1019,C003,Tablet,Electronics,300,3,2024-08-11,France
1020,C649,Watch,Fashion,200,1,2024-07-01,UK
1021,C514,Jacket,Fashion,150,4,2024-01-22,Germany
1022,C263,Headphones,Electronics,80,2,2024-04-19,Australia
1023,C937,Laptop,Electronics,800,3,2024-06-09,Australia
1024,C708,Watch,Fashion,200,1,2024-10-15,UK
1025,C005,Tablet,Electronics,300,3,2024-01-13,Germany
1026,C960,Laptop,Electronics,800,2,2024-08-23,France
1027,C972,Phone,Electronics,600,5,2024-02-14,USA
1028,C655,Jacket,Fashion,150,1,2024-12-25,Germany
1029,C718,Bag,Fashion,50,4,2024-06-30,France
1030,C852,Headphones,Electronics,80,4,2024-10-02,UK
1031,C507,Bag,Fashion,50,3,2024-08-11,France
1032,C448,Phone,Electronics,600,5,2024-09-05,USA
1033,C920,Laptop,Electronics,800,1,2024-04-24,Canada
1034,C928,Jacket,Fashion,150,4,2024-07-16,India
1035,C464,Watch,Fashion,200,3,2024-08-13,Canada
1036,C552,Shoes,Fashion,120,3,2024-11-04,Germany
1037,C673,Bag,Fashion,50,4,2024-06-07,India
1038,C055,Jacket,Fashion,150,3,2024-11-22,India
